# Data from Rosenfeld et al 2002 fig 3. 
# "Regulated" variables are exp data for regulated gene;
# "unregulated" is data for unregulated gene.
# regulatedCyan, , regulatedPurple, , regulatedRed, , unregulated, 
0.0283, 0.1086, 0.0162, 0.0674, 0.0204, 0.1609, 0.0524, 0.1021
0.0283, 0.1104, 0.0162, 0.0692, 0.0204, 0.1628, 0.0564, 0.1002
0.0324, 0.1123, 0.0202, 0.0711, 0.0244, 0.1647, 0.0604, 0.1002
0.0324, 0.1142, 0.0202, 0.073, 0.0244, 0.1665, 0.0645, 0.1021
0.0364, 0.1161, 0.0242, 0.0749, 0.0244, 0.1684, 0.0685, 0.1021
0.0364, 0.1179, 0.0243, 0.0767, 0.0285, 0.1703, 0.0725, 0.1039
0.0364, 0.1198, 0.0283, 0.0786, 0.0285, 0.1722, 0.0765, 0.1058
0.0404, 0.1198, 0.0283, 0.0805, 0.0285, 0.174, 0.0805, 0.1058
0.0404, 0.1217, 0.0323, 0.0824, 0.0325, 0.1759, 0.0846, 0.1076
0.0404, 0.1235, 0.0323, 0.0842, 0.0325, 0.1778, 0.0886, 0.1076
0.0404, 0.1254, 0.0323, 0.0861, 0.0365, 0.1797, 0.0926, 0.1095
0.0404, 0.1273, 0.0323, 0.088, 0.0365, 0.1815, 0.0966, 0.1095
0.0404, 0.1292, 0.0323, 0.0899, 0.0365, 0.1834, 0.1006, 0.1113
0.0444, 0.131, 0.0363, 0.0917, 0.0405, 0.1853, 0.1046, 0.1113
0.0444, 0.1329, 0.0363, 0.0936, 0.0405, 0.1872, 0.1087, 0.1132
0.0444, 0.1348, 0.0363, 0.0955, 0.0405, 0.189, 0.1127, 0.115
0.0445, 0.1366, 0.0363, 0.0973, 0.0446, 0.1909, 0.1167, 0.115
0.0445, 0.1385, 0.0363, 0.0992, 0.0446, 0.1928, 0.1207, 0.1169
0.0485, 0.1404, 0.0363, 0.1011, 0.0446, 0.1945, 0.1247, 0.1169
0.0485, 0.1423, 0.0404, 0.103, 0.0486, 0.1965, 0.1288, 0.1187
0.0485, 0.1441, 0.0404, 0.1048, 0.0486, 0.1984, 0.1328, 0.1187
0.0485, 0.146, 0.0404, 0.1067, 0.0486, 0.2003, 0.1368, 0.1206
0.0485, 0.1479, 0.0404, 0.1086, 0.0526, 0.2021, 0.1408, 0.1206
0.0485, 0.1497, 0.0404, 0.1104, 0.0526, 0.204, 0.1448, 0.1224
0.0525, 0.1516, 0.0444, 0.1123, 0.0526, 0.2059, 0.1488, 0.1224
0.0525, 0.1535, 0.0444, 0.1142, 0.0566, 0.2078, 0.1529, 0.1243
0.0525, 0.1554, 0.0444, 0.1161, 0.0566, 0.2096, 0.1569, 0.1261
0.0525, 0.1572, 0.0444, 0.1179, 0.0607, 0.2115, 0.1609, 0.1261
0.0525, 0.1591, 0.0444, 0.1198, 0.0607, 0.2134, 0.1649, 0.128
